10000 15000
417 1574 1004
418 6251 8971
419 2623 6509
420 9250 4093
421 9366 2754
422 8433 2998
423 1400 9460
424 4698 2415
425 6563 4547
426 6739 9565
427 4428 1260
428 5849 6592
429 5012 2840
430 5139 6099
431 4805 521
432 3328 6614
433 1081 1762
434 4156 1605
435 7420 7558
436 5848 4289
437 8516 8777
438 8890 6447
439 6876 4575
440 2310 6648
441 7524 9279
442 1308 2571
443 934 4725
444 1921 9948
445 9782 6378
446 3023 4032
447 4001 9287
448 7131 3279
449 4631 2572
450 4181 6807
451 4149 2817
452 4243 4881
453 3297 3447
454 2346 5562
455 2595 1370
456 7158 2022
457 2884 5136
458 1529 2011
459 2908 2669
460 8349 8671
461 7487 6044
462 1044 8327
463 5348 3881
464 4487 1274
465 4594 6815
466 2004 6709
467 2265 5462
468 6379 1959
469 9172 8042
470 5116 6856
471 1852 2392
472 4382 2867
473 7334 2136
474 4338 5745
475 6739 1088
476 2621 4283
477 9858 6374
478 4113 9191
479 2149 6285
480 2787 4045
481 758 4556
482 2783 7233
483 1972 6566
484 6156 5003
485 8676 7943
486 7648 4454
487 2999 9282
488 9874 581
489 1849 7479
490 2755 9068
491 8259 3985
492 1092 5025
493 6079 9748
494 530 2725
495 5143 203
496 1224 2029
497 4276 2758
498 1029 8051
499 2654 9837
500 5876 6987
501 9870 5685
502 2566 224
503 8010 4148
504 4071 5811
505 835 5282
506 5684 6436
507 7502 4014
508 4660 4937
509 3375 6832
510 6234 7632
511 7896 1240
512 5106 3505
513 2463 5523
514 6930 3346
515 4494 6984
516 8430 5975
517 945 5169
518 4439 4895
519 2630 3013
520 7183 3502
521 3628 2605
522 3270 7679
523 9193 6155
524 2438 8905
525 2171 6458
526 3745 5838
527 7063 1882
528 3977 4785
529 8739 6501
530 3351 453
531 969 4672
532 815 3416
533 4927 3896
534 5623 4082
535 9421 1759
536 1655 9443
537 5870 8706
538 1965 1135
539 2641 656
540 1869 4716
541 2585 7857
542 8177 2443
543 2328 3766
544 2461 2693
545 3999 3270
546 2448 3924
547 9616 9648
548 6820 292
549 5583 8292
550 9130 4574
551 4926 9185
552 8296 3773
553 4753 8802
554 3237 2346
555 6431 3199
556 2424 3407
557 1943 1993
558 8114 2560
559 3794 9388
560 5212 409
561 4460 2682
562 7187 6619
563 1764 8614
564 2294 7266
565 6810 3670
566 3419 1227
567 8736 521
568 8260 4017
569 3626 9351
570 4908 5986
571 4953 3262
572 9429 6709
573 867 8699
574 2662 625
575 1459 6587
576 3759 3730
577 588 7404
578 7845 9298
579 3088 4396
580 5665 118
581 6481 3862
582 2851 2767
583 4559 764
584 1547 3394
585 5854 2225
586 8421 4349
587 4615 9875
588 6402 4290
589 1928 5341
590 3706 5189
591 1125 3773
592 9632 9371
593 7743 100
594 9731 3155
595 3199 3833
596 1312 5986
597 2913 4432
598 1865 3753
599 6265 5563
600 9005 9353
601 6123 9058
602 2885 1254
603 3110 6170
604 6874 7036
605 6198 300
606 7174 9271
607 7933 4634
608 8384 52
609 2808 199
610 4032 5761
611 1871 2549
612 8863 6351
613 5732 1041
614 9104 7436
615 3022 6130
616 3959 4442
617 8747 7948
618 3472 3698
619 7796 1610
620 2485 119
621 794 6302
622 7600 854
623 3834 2334
624 5862 4509
625 8490 3793
626 2263 3260
627 4008 2171
628 2919 1705
629 6433 9739
630 6717 2425
631 4547 3677
632 1464 6782
633 6521 9482
634 3671 9854
635 1705 3296
636 8398 6615
637 9680 9121
638 6397 2169
639 9418 3260
640 8514 2992
641 1932 2766
642 797 2377
643 5461 3321
644 6863 6782
645 1550 8263
646 2626 2014
647 6818 8786
648 5730 6406
649 5800 2571
650 7190 9707
651 9114 3401
652 9553 8353
653 3553 6323
654 1757 7078
655 2024 7854
656 7825 5433
657 6843 3357
658 5041 6161
659 9672 7036
660 3796 4656
661 6648 7616
662 9393 7515
663 9601 2687
664 5419 2293
665 9928 7358
666 8775 3878
667 807 3288
668 5055 6238
669 4806 9658
670 9884 3786
671 7988 3781
672 2956 5974
673 2953 3533
674 1761 2426
675 4270 5630
676 4179 2521
677 7252 162
678 5863 8742
679 4974 9300
680 7797 4785
681 7822 1342
682 9079 2974
683 5566 5854
684 4794 8024
685 9533 1456
686 1711 4064
687 5093 9927
688 3466 6796
689 2612 7338
690 4161 3210
691 3145 2464
692 8709 7088
693 7239 2614
694 5747 4930
695 4381 4682
696 8780 1991
697 7121 4222
698 6213 7452
699 7943 9722
700 3821 382
701 5592 1718
702 2859 5113
703 1830 1584
704 9913 9021
705 2173 4084
706 5437 8083
707 8561 7763
708 6477 8416
709 3893 1502
710 3523 8676
711 9431 1885
712 3842 381
713 4321 8917
714 8445 1952
715 6950 2572
716 9961 1708
717 9252 1625
718 6141 4309
719 8010 3339
720 6144 3460
721 1421 1170
722 6223 137
723 9294 8700
724 2995 4588
725 8570 6964
726 3327 5851
727 4227 3144
728 9866 1485
729 5839 9410
730 817 2532
731 9565 6691
732 5707 8319
733 7301 7426
734 6666 5719
735 4200 7866
736 1511 106
737 6769 3267
738 6183 9913
739 9829 9579
740 3003 9339
741 2793 3430
742 3773 4188
743 2830 8193
744 950 8988
745 3469 507
746 1259 6185
747 4507 1373
748 1909 1760
749 7433 8189
750 1806 9779
751 5207 1402
752 3414 6384
753 1742 765
754 3536 5398
755 5990 7856
756 2886 1639
757 2556 657
758 4204 1502
759 1259 7589
760 9195 5042
761 9270 914
762 6644 4734
763 4578 6210
764 5136 5284
765 9288 9685
766 6373 3986
767 3693 2502
768 3164 4698
769 4596 3875
770 2160 2917
771 6989 6468
772 3738 7952
773 1644 3946
774 1802 8346
775 4740 6236
776 3266 7262
777 2181 8944
778 5174 715
779 1259 7138
780 6586 4574
781 844 228
782 8977 4191
783 900 1162
784 9741 5839
785 7494 9629
786 7010 9770
787 8964 6859
788 2826 4094
789 7234 549
790 6072 9061
791 2974 9482
792 1111 1230
793 3448 6020
794 6145 3315
795 2062 6729
796 4234 2707
797 2101 7575
798 2149 4832
799 5117 8722
800 2933 5882
801 5323 426
802 4002 9761
803 9223 1982
804 3532 7651
805 7899 9957
806 4868 8135
807 5739 336
808 6555 3221
809 8521 5487
810 3779 7210
811 7970 9820
812 4756 7692
813 7195 7385
814 6273 8076
815 8899 7426
816 7885 4662
817 1021 9758
818 1380 6071
819 7258 5494
820 1813 2511
821 7407 8428
822 9288 5403
823 6293 1440
824 5837 7752
825 9685 499
826 9740 5836
827 1324 4927
828 7696 4420
829 3078 6753
830 2459 4474
831 9951 1103
832 5104 2652
833 3336 1010
834 8848 1507
835 946 7143
836 5440 3993
837 2742 8438
838 6074 4443
839 9648 9935
840 9346 9968
841 1851 2170
842 7811 8405
843 9273 5240
844 6978 2149
845 6413 8581
846 8081 9248
847 8064 2232
848 3984 7639
849 4543 1947
850 8382 5269
851 6343 857
852 3283 3807
853 8437 1112
854 988 8134
855 5952 9497
856 1965 594
857 9618 820
858 7470 8635
859 8387 4385
860 4554 23
861 3135 662
862 5375 7420
863 2403 1738
864 7950 995
865 2886 4970
866 6009 9
867 2282 8707
868 1742 3677
869 7801 3651
870 991 1737
871 4279 5480
872 9695 6853
873 2481 8507
874 4527 9787
875 5112 74
876 6299 8102
877 6540 490
878 1699 1498
879 5979 64
880 7069 8871
881 9687 6443
882 2688 3949
883 9799 8089
884 6006 9780
885 2582 5887
886 8921 291
887 4990 9237
888 8744 6938
889 3318 5554
890 6091 8027
891 3884 4991
892 2075 9276
893 3199 1667
894 2443 8517
895 3106 8285
896 8305 1734
897 2115 2163
898 5306 6487
899 1510 5581
900 4482 6253
901 1223 7170
902 9420 845
903 8959 2471
904 7489 1794
905 5724 4741
906 6062 2615
907 9294 7495
908 8019 648
909 3526 6052
910 3559 3824
911 9249 3810
912 1747 3813
913 936 4457
914 6454 7292
915 1655 3795
916 4491 4550
917 7994 1081
918 1623 8965
919 5569 2132
920 1281 6804
921 2038 7654
922 9438 8271
923 8754 1482
924 3429 5710
925 3854 7681
926 4470 9802
927 5586 3914
928 8916 2638
929 3905 3751
930 1573 3922
931 2678 7467
932 8944 4218
933 1345 5771
934 7330 7881
935 4826 5889
936 9057 7207
937 1192 9623
938 7138 1954
939 7306 7411
940 5883 5750
941 3062 1562
942 8296 4924
943 2559 8706
944 8958 8381
945 1670 5719
946 8140 1655
947 8586 3197
948 4934 8669
949 1893 6328
950 2375 5714
951 5239 6390
952 1870 9172
953 4921 2887
954 6681 1353
955 8966 8591
956 9838 3692
957 5691 2137
958 6107 8590
959 2465 934
960 4709 1974
961 1598 5173
962 6224 1850
963 2414 9551
964 4144 1407
965 6856 281
966 6200 7704
967 1010 1351
968 8258 1041
969 5641 3503
970 5053 5284
971 9405 457
972 3782 2071
973 4910 8358
974 3519 3042
975 6743 454
976 9028 1634
977 3561 7298
978 6598 6724
979 2609 6899
980 8603 2560
981 9610 282
982 4096 7680
983 9256 1188
984 7146 8583
985 7754 4277
986 6603 78
987 8449 8559
988 1337 12
989 7799 4134
990 9688 8464
991 3943 1317
992 4251 1911
993 1179 4705
994 7640 357
995 4714 4556
996 6110 1567
997 3677 1353
998 3949 3874
999 4129 4418
1000 3323 6833
1001 8570 1710
1002 2657 8008
1003 6697 3592
1004 9166 7857
1005 6279 337
1006 9154 7871
1007 3239 3166
1008 1607 3975
1009 1890 3523
1010 1384 6531
1011 1384 391
1012 9647 5845
1013 2172 5454
1014 2118 7967
1015 1101 1409
1016 1087 3694
1017 4355 587
1018 5808 5232
1019 3239 6944
1020 7285 8014
1021 9609 7061
1022 8020 7424
1023 5146 1551
1024 5106 2090
1025 9509 351
1026 4546 7055
1027 7071 9551
1028 1178 8257
1029 2143 7271
1030 5134 7814
1031 7346 3836
1032 8483 323
1033 6227 9207
1034 7656 4358
1035 3833 2238
1036 5905 4591
1037 6565 72
1038 6478 6042
1039 4623 7894
1040 6549 6065
1041 9416 3555
1042 4449 9701
1043 2567 4380
1044 7793 985
1045 8904 5741
1046 2168 457
1047 7074 1203
1048 5677 1010
1049 1864 6806
1050 2626 9599
1051 8237 4847
1052 2965 2425
1053 3779 9144
1054 6420 7827
1055 3357 571
1056 7608 9779
1057 6262 7423
1058 9890 6473
1059 5390 9583
1060 9798 3520
1061 9283 5389
1062 4103 4856
1063 5504 5449
1064 5304 1125
1065 9761 7540
1066 2159 5671
1067 8908 4278
1068 1255 3556
1069 3709 4036
1070 3708 7674
1071 8507 7667
1072 7051 8041
1073 1176 9942
1074 4011 1446
1075 9106 6304
1076 4965 5470
1077 1366 3288
1078 2410 2151
1079 4697 8696
1080 1252 5396
1081 5215 1263
1082 5977 605
1083 8988 608
1084 6278 6847
1085 5169 1845
1086 6100 2514
1087 3206 8356
1088 2041 5970
1089 9156 2423
1090 2287 810
1091 3135 5626
1092 5962 3382
1093 5532 1839
1094 6555 9414
1095 5685 4644
1096 2086 5037
1097 6912 8904
1098 2832 9795
1099 6038 1376
1100 4062 5316
1101 3989 8590
1102 2151 5374
1103 1526 2528
1104 4850 8543
1105 9276 4441
1106 5024 7722
1107 1333 6595
1108 5926 1419
1109 6487 6253
1110 4971 9442
1111 8740 5927
1112 4851 9853
1113 4548 1619
1114 4180 1285
1115 3190 8261
1116 9892 4408
1117 3712 252
1118 5775 1860
1119 5129 1786
1120 3415 6632
1121 1877 5507
1122 6456 3855
1123 8443 5471
1124 4373 9243
1125 2220 7602
1126 5975 5302
1127 5460 4037
1128 6566 7287
1129 1774 3253
1130 5453 1178
1131 9042 558
1132 7489 1172
1133 3643 8267
1134 9646 4990
1135 7505 9271
1136 4288 3923
1137 2038 6459
1138 9534 6104
1139 2685 4839
1140 4173 4254
1141 9383 3762
1142 6729 9912
1143 6735 9878
1144 7139 3279
1145 6871 574
1146 9494 6530
1147 9473 2231
1148 9271 785
1149 4147 3127
1150 1873 598
1151 1794 653
1152 8994 5403
1153 7875 4006
1154 2929 1379
1155 4268 1487
1156 1990 6982
1157 6614 6422
1158 6173 5879
1159 2459 2898
1160 8809 1486
1161 7990 5953
1162 2489 1196
1163 5680 968
1164 6186 9214
1165 8167 4012
1166 2709 9398
1167 4904 8859
1168 9633 7801
1169 6272 144
1170 8000 2417
1171 9320 2344
1172 9145 1340
1173 6885 6192
1174 4951 4079
1175 3916 1488
1176 4280 690
1177 5751 862
1178 1765 7368
1179 9856 4183
1180 3344 7616
1181 2984 9570
1182 5249 4989
1183 7380 7060
1184 7673 1451
1185 8568 6333
1186 5237 4507
1187 9801 2842
1188 4887 4879
1189 5767 4354
1190 3699 8812
1191 1393 1026
1192 5644 1301
1193 8050 5368
1194 5593 3162
1195 3328 4906
1196 2365 9117
1197 1874 5101
1198 3623 6540
1199 7491 4633
1200 7517 7665
1201 5709 8054
1202 6714 6582
1203 7898 1587
1204 1910 9407
1205 2020 8968
1206 1217 8254
1207 9058 8337
1208 8520 437
1209 7112 8486
1210 1522 4239
1211 2286 4564
1212 6612 4714
1213 2757 5654
1214 3656 6512
1215 7571 3984
1216 2669 3846
1217 2329 269
1218 2985 3943
1219 3352 6215
1220 9791 2919
1221 8112 3625
1222 2408 4983
1223 4629 6633
1224 3281 255
1225 8310 8260
1226 5702 3940
1227 4374 404
1228 4920 9921
1229 2743 2484
1230 2341 2627
1231 1710 9312
1232 3419 9604
1233 8050 2091
1234 7609 2918
1235 6727 2752
1236 8440 3553
1237 6218 126
1238 4446 8670
1239 6658 8683
1240 4853 2658
1241 2305 365
1242 5032 545
1243 2594 2455
1244 7360 2331
1245 8778 9711
1246 6803 4917
1247 4061 1208
1248 9732 5599
1249 8473 4783
1250 4657 2141
1251 6218 1100
1252 5202 2196
1253 6319 2076
1254 9238 6754
1255 5083 9172
1256 6267 9514
1257 8484 2267
1258 9167 1273
1259 5963 3933
1260 8223 9888
1261 4872 1827
1262 9944 1692
1263 7361 5909
1264 8878 7297
1265 6203 1981
1266 6628 2895
1267 1841 8556
1268 8935 3023
1269 6078 8158
1270 2793 3082
1271 7004 1293
1272 9997 5367
1273 3584 325
1274 3780 7028
1275 2467 4379
1276 4771 1708
1277 8335 1392
1278 1493 9036
1279 4913 933
1280 8540 9975
1281 7926 3320
1282 9548 565
1283 2659 9132
1284 6499 3153
1285 6590 7719
1286 5224 6002
1287 1356 2608
1288 2102 7139
1289 9384 6273
1290 4931 9604
1291 7301 4997
1292 2408 1423
1293 1891 9115
1294 8171 4248
1295 7088 1672
1296 8128 7472
1297 1414 3082
1298 7559 5650
1299 4216 5039
1300 6132 968
1301 8766 9053
1302 6788 4696
1303 9335 8592
1304 6193 3683
1305 6172 4523
1306 6862 3732
1307 8259 232
1308 3015 8468
1309 4157 2610
1310 1490 1425
1311 8145 2976
1312 7770 5656
1313 1336 7319
1314 2762 8292
1315 5098 1004
1316 7851 7438
1317 9689 4355
1318 8734 1951
1319 3645 7551
1320 9893 6651
1321 6873 797
1322 9186 5407
1323 2765 2423
1324 7832 7373
1325 8754 4356
1326 7940 8041
1327 6945 686
1328 7199 6562
1329 8214 7134
1330 6094 6267
1331 3220 3944
1332 3135 8389
1333 2100 5380
1334 1967 8511
1335 9814 3459
1336 8636 8571
1337 1459 7612
1338 2037 2346
1339 6484 5911
1340 6711 9072
1341 7375 8656
1342 6678 3634
1343 5876 125
1344 4285 8187
1345 9443 7811
1346 6173 64
1347 9482 5348
1348 5207 3074
1349 3143 2958
1350 6580 1077
1351 2626 5136
1352 6535 2062
1353 8601 8585
1354 3596 4028
1355 5088 5284
1356 8445 9899
1357 6541 9953
1358 4525 2396
1359 5436 9868
1360 6964 3614
1361 5842 478
1362 6467 3931
1363 2558 4845
1364 3356 7935
1365 3387 7714
1366 5533 1859
1367 6412 3848
1368 5050 3466
1369 6478 6594
1370 4631 2594
1371 1448 7748
1372 2391 4867
1373 4495 2670
1374 9456 5886
1375 7717 2737
1376 8857 23
1377 5258 5830
1378 5966 985
1379 7220 4711
1380 7624 5478
1381 1714 7175
1382 1730 1331
1383 6712 6240
1384 5859 2475
1385 2479 6036
1386 2608 5400
1387 5818 2482
1388 8367 68
1389 7739 1570
1390 8720 5746
1391 6938 2798
1392 1920 9862
1393 8484 2975
1394 4537 2357
1395 1923 5974
1396 6126 2391
1397 1412 9512
1398 7867 7
1399 5360 4091
1400 2277 1609
1401 8189 7096
1402 6402 1265
1403 4572 1674
1404 3632 6783
1405 3239 4996
1406 7155 1508
1407 5055 1160
1408 1433 938
1409 3009 6646
1410 2233 5800
1411 5605 3591
1412 5966 5546
1413 8438 4087
1414 2336 6901
1415 8525 6655
1416 2109 4350
1417 3243 8212
1418 3531 6
1419 4021 8495
1420 4593 3273
1421 4961 7844
1422 9131 7301
1423 6784 6347
1424 4430 8778
1425 4761 4824
1426 6318 5066
1427 8690 8531
1428 5975 7624
1429 8948 1680
1430 7949 3730
1431 1924 3749
1432 3112 9078
1433 7944 9037
1434 7713 4595
1435 6112 7265
1436 5858 9348
1437 7896 2991
1438 4745 1817
1439 9707 6317
1440 7470 5075
1441 5692 7515
1442 5111 964
1443 6278 4805
1444 3945 6554
1445 5050 6696
1446 9179 9735
1447 6426 5646
1448 7096 5156
1449 2740 7074
1450 3051 1296
1451 8280 4588
1452 5734 4538
1453 9878 6256
1454 3889 720
1455 7940 7283
1456 4569 2333
1457 6552 7259
1458 4810 886
1459 2040 126
1460 6947 395
1461 7017 1039
1462 4502 7206
1463 3514 1598
1464 3012 6459
1465 5530 7864
1466 9593 9330
1467 1626 2647
1468 8302 6412
1469 9802 6206
1470 9171 3322
1471 6659 3425
1472 5562 9848
1473 5898 9569
1474 2974 7919
1475 2379 2719
1476 4890 4018
1477 3843 1657
1478 4592 530
1479 2430 8108
1480 8129 8879
1481 9129 9492
1482 3308 2296
1483 9134 1703
1484 8931 791
1485 6983 9379
1486 9777 2317
1487 7868 4143
1488 7067 9471
1489 7974 4043
1490 7455 2686
1491 4331 7706
1492 6405 851
1493 8024 4482
1494 2810 3124
1495 9011 4209
1496 6856 6803
1497 2626 8172
1498 3294 9517
1499 6141 7255
1500 4523 924
1501 9875 5334
1502 3837 5106
1503 4644 4939
1504 8919 2190
1505 3932 5200
1506 3112 1300
1507 6145 2487
1508 5788 4590
1509 4205 1202
1510 8651 4462
1511 2957 5161
1512 3242 8286
1513 9681 3849
1514 8637 9942
1515 5446 4589
1516 5705 824
1517 6557 1289
1518 7906 8941
1519 4687 4158
1520 9636 601
1521 7484 365
1522 5101 6561
1523 6249 8428
1524 7347 3116
1525 4048 8152
1526 3824 9913
1527 7107 3325
1528 2188 654
1529 4230 2314
1530 7415 1302
1531 1770 9139
1532 2122 1032
1533 2702 4742
1534 5580 7928
1535 7630 1853
1536 3541 5859
1537 6909 9225
1538 1662 3783
1539 4448 7479
1540 4440 1293
1541 8881 9570
1542 2885 8233
1543 6756 7457
1544 2050 5485
1545 8876 2724
1546 7212 8375
1547 5564 4080
1548 1929 4750
1549 9614 2331
1550 4919 3092
1551 5630 5630
1552 8811 507
1553 3705 5800
1554 8310 6818
1555 6839 2750
1556 8345 2114
1557 8085 3646
1558 2693 6320
1559 5761 7019
1560 9805 6055
1561 1845 5461
1562 1612 425
1563 5725 2648
1564 1736 8333
1565 6233 6080
1566 6504 9178
1567 4281 8552
1568 9129 3576
1569 2999 4131
1570 2405 2187
1571 4007 3812
1572 3429 6936
1573 2638 603
1574 5789 4679
1575 6447 535
1576 3863 2845
1577 3564 4684
1578 6577 1230
1579 7233 4414
1580 3662 1205
1581 3426 7112
1582 4655 6081
1583 3928 8950
1584 7900 6421
1585 6342 6896
1586 1941 92
1587 3468 3057
1588 4886 7314
1589 4498 5548
1590 1788 2384
1591 2712 4378
1592 4120 2423
1593 6363 9315
1594 2716 8775
1595 9154 5048
1596 9914 4888
1597 7762 1253
1598 3257 8075
1599 7738 4905
1600 8234 4208
1601 3234 2877
1602 2427 575
1603 8226 3103
1604 2314 3992
1605 2481 9882
1606 7664 3746
1607 3231 8900
1608 9956 3017
1609 4719 6676
1610 9843 8433
1611 1889 2333
1612 4495 4606
1613 1855 4368
1614 7358 5543
1615 8461 7151
1616 3572 3535
1617 1845 6553
1618 2234 3298
1619 4482 7534
1620 7224 5399
1621 7009 9582
1622 4547 7422
1623 5160 8157
1624 6277 6453
1625 1723 5190
1626 9823 6946
1627 7926 4762
1628 9725 8506
1629 8454 2723
1630 9378 4842
1631 7493 8289
1632 2508 3506
1633 4754 9628
1634 4042 3728
1635 4197 6303
1636 3153 393
1637 4169 8277
1638 7798 5301
1639 5499 5046
1640 8035 2872
1641 2145 972
1642 7009 9871
1643 9946 1302
1644 7611 7819
1645 9232 6815
1646 5607 9326
1647 9390 3619
1648 1728 8954
1649 6658 1567
1650 2028 5376
1651 7010 3612
1652 7110 3721
1653 3671 4579
1654 3554 3778
1655 7244 1148
1656 9453 9327
1657 2966 4312
1658 9786 127
1659 7823 8972
1660 9499 8650
1661 9915 4927
1662 9946 858
1663 1943 2281
1664 5260 8416
1665 2557 6473
1666 8108 9751
1667 3314 2849
1668 3936 3096
1669 2562 1074
1670 5329 148
1671 3209 4359
1672 7697 6527
1673 7721 8543
1674 4697 878
1675 4521 6847
1676 7892 8574
1677 5451 9040
1678 1820 9483
1679 5959 4652
1680 6348 8536
1681 2513 1664
1682 7665 5367
1683 1826 9201
1684 4033 548
1685 5931 3770
1686 6818 6026
1687 5810 4414
1688 6158 5320
1689 3045 1462
